# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Sat Dec 11 22:13:26 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.01508 9.67117 0.0900000036 1.0816895962    0.090 -3.424  3.3623  5.217    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.89e-17      0.00 7.086e-01 2.761e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 13.330 22.606 19.983 18.146 15.992 13.742 11.239 10.624 10.335
0.0152 0.01508 9.67117 0.1000000015 1.1711064577    0.100 -3.241  3.3881  5.184    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-17      0.00 7.085e-01 2.762e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.874 22.087 19.499 17.672 15.530 13.286 10.784 10.170 9.877
0.0152 0.01508 9.67117 0.1200000122 1.3193155527    0.120 -2.977  3.4229  5.138    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.03e-16      0.00 7.081e-01 2.767e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 12.212 21.027 18.586 16.791 14.735 12.546 10.138 9.524 9.226
0.0152 0.01508 9.67117 0.1346206069 1.4086906910    0.135 -2.840  3.4380  5.111    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.38e-16      0.00 7.078e-01 2.769e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.870 19.847 17.665 15.935 14.062 12.002 9.831 9.216 8.916
0.0152 0.01508 9.67117 0.1400000006 1.4384527206    0.140 -2.793  3.4432  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-16      0.00 7.077e-01 2.770e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.754 19.476 17.367 15.660 13.842 11.825 9.726 9.111 8.811
0.0152 0.01508 9.67117 0.1599999964 1.5372931957    0.160 -2.652  3.4567  5.073    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.03e-16      0.00 7.074e-01 2.773e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.401 18.471 16.549 14.890 13.219 11.321 9.407 8.789 8.492
0.0152 0.01508 9.67117 0.2000000030 1.6938791275    0.200 -2.436  3.4755  5.029    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.15e-16      0.00 7.068e-01 2.779e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.860 17.138 15.431 13.830 12.341 10.610 8.911 8.291 8.003
0.0152 0.01508 9.67117 0.2500000000 1.8403258324    0.250 -2.230  3.4919  4.985    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.76e-16      0.00 7.062e-01 2.785e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 10.344 16.032 14.472 12.906 11.550 9.974 8.437 7.815 7.537
0.0152 0.01508 9.67117 0.3000000119 1.9529139996    0.300 -2.068  3.5027  4.946    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.17e-16      0.00 7.060e-01 2.788e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.941 15.302 13.820 12.287 11.004 9.511 8.058 7.434 7.165
0.0152 0.01508 9.67117 0.3500000238 2.0434176922    0.350 -1.913  3.5113  4.892    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -9.3e-16      0.00 7.090e-01 2.757e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.552 14.670 13.245 11.741 10.511 9.081 7.689 7.060 6.799
0.0152 0.01508 9.67117 0.3858789504 2.0985877514    0.386 -1.808  3.5194  4.862    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.17e-15      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.291 14.215 12.827 11.343 10.156 8.785 7.447 6.814 6.559
0.0152 0.01508 9.67117 0.4000000358 2.1185026169    0.400 -1.770  3.5224  4.851    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.27e-15      0.00 7.091e-01 2.756e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 9.194 14.055 12.677 11.200 10.028 8.677 7.358 6.723 6.471
0.0152 0.01508 9.67117 0.4463585019 2.1779532433    0.446 -1.631  3.5336  4.805    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.74e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.847 13.491 12.141 10.691 9.569 8.292 7.039 6.395 6.152
0.0152 0.01508 9.67117 0.4500000477 2.1822810173    0.450 -1.620  3.5345  4.801    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.79e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.821 13.450 12.102 10.654 9.536 8.264 7.015 6.371 6.128
0.0152 0.01508 9.67117 0.4526444077 2.1853952408    0.452 -1.612  3.5353  4.799    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.82e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.800 13.415 12.068 10.621 9.507 8.240 6.996 6.350 6.109
0.0152 0.01508 9.67117 0.5000000000 2.2374541759    0.500 -1.465  3.5493  4.751    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.57e-15      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 8.432 12.832 11.495 10.074 9.012 7.833 6.664 6.008 5.777
0.0152 0.01508 9.67117 0.5500000119 2.2836582661    0.550 -1.298  3.5685  4.702    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.81e-15      0.00 7.202e-01 2.651e-01 2.648e-03 7.146e-04 6.482e-03 -1.000 1.475e-02 8.014 12.176 10.824 9.422 8.420 7.373 6.298 5.628 5.415
0.0152 0.01508 9.67117 0.6000000238 2.3211214542    0.600 -1.131  3.5922  4.668    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.56e-15      0.00 7.218e-01 2.635e-01 2.634e-03 7.109e-04 6.449e-03 -1.000 1.472e-02 7.598 11.508 10.126 8.754 7.810 6.922 5.945 5.257 5.075
0.0152 0.01508 9.67117 0.6042311788 2.3239660263    0.604 -1.116  3.5947  4.666    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.74e-15      0.00 7.219e-01 2.634e-01 2.633e-03 7.106e-04 6.446e-03 -1.000 1.472e-02 7.561 11.447 10.061 8.694 7.756 6.882 5.914 5.224 5.046
0.0152 0.01508 9.67117 0.6499999762 2.3520355225    0.650 -0.963  3.6207  4.648    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -8.04e-15      0.00 7.234e-01 2.620e-01 2.622e-03 7.075e-04 6.418e-03 -1.000 1.462e-02 7.177 10.800 9.378 8.081 7.205 6.475 5.590 4.899 4.761
0.0152 0.01508 9.67117 0.6871294379 2.3716754913    0.687 -0.842  3.6426  4.639    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.05e-14      0.00 7.244e-01 2.610e-01 2.613e-03 7.051e-04 6.397e-03 -1.000 1.455e-02 6.874 10.172 8.789 7.584 6.773 6.159 5.343 4.673 4.567
0.0152 0.01508 9.67117 0.7000000477 2.3779268265    0.700 -0.801  3.6500  4.636    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-14      0.00 7.248e-01 2.607e-01 2.610e-03 7.043e-04 6.390e-03 -1.000 1.452e-02 6.772 9.927 8.589 7.418 6.631 6.052 5.262 4.608 4.509
0.0152 0.01508 9.67117 0.7428458929 2.3969545364    0.743 -0.667  3.6749  4.627    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -1.52e-14      0.00 7.262e-01 2.594e-01 2.569e-03 7.006e-04 6.365e-03 -1.000 1.447e-02 6.438 9.017 7.929 6.884 6.196 5.702 5.001 4.424 4.342
0.0152 0.01508 9.67117 0.7500000000 2.3998889923    0.750 -0.645  3.6789  4.626    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-14      0.00 7.264e-01 2.592e-01 2.562e-03 7.000e-04 6.361e-03 -1.000 1.448e-02 6.383 8.867 7.826 6.800 6.128 5.645 4.959 4.397 4.316
0.0152 0.01508 9.67117 0.7583853602 2.4032475948    0.758 -0.621  3.6826  4.621    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -1.69e-14      0.00 7.267e-01 2.588e-01 2.559e-03 6.991e-04 6.353e-03 -1.000 1.446e-02 6.322 8.727 7.723 6.714 6.057 5.583 4.910 4.359 4.280
0.0152 0.01508 9.67117 0.8000000119 2.4187245369    0.800 -0.502  3.7006  4.598    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.22e-14      0.00 7.286e-01 2.570e-01 2.544e-03 6.950e-04 6.316e-03 -1.000 1.438e-02 6.025 8.056 7.239 6.310 5.721 5.285 4.673 4.176 4.106
0.0152 0.01508 9.67117 0.8197482824 2.4254400730    0.819 -0.447  3.7087  4.585    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -2.52e-14      0.00 7.297e-01 2.560e-01 2.535e-03 6.927e-04 6.296e-03 -1.000 1.432e-02 5.887 7.762 7.026 6.131 5.568 5.148 4.563 4.090 4.023
0.0152 0.01508 9.67117 0.8500000238 2.4350347519    0.849 -0.363  3.7208  4.566    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -3.07e-14      0.00 7.313e-01 2.545e-01 2.522e-03 6.893e-04 6.264e-03 -1.000 1.426e-02 5.678 7.327 6.714 5.867 5.343 4.945 4.399 3.959 3.897
